appid,name,developer,publisher
488210,JDM Tuner Racing,JDM4iK,JDM4iK
513930,J.U.R : Japan Underground Racing,JDM4iK,JDM4iK
491280,Drift Horizon Online,JDM4iK Games,JDM4iK Games
388660,Project Tarvotan,JDRumble,JDRumble
581600,The Albatross,JDRumble,JDRumble
434020,Last Hope - Tower Defense,JE Software,JE Software
434240,Alien Blitz,Jean-Baptiste Simillon,Jean-Baptiste Simillon
432290,Elemental Heroes,JED GAMES,JED GAMES
365270,Shadow Hunter,Jeff Trier,Jeff Trier
375430,The Logomancer,"Jeffrey Nordin, Justin Nordin",Jeffrey Nordin
611640,Mono,JeliLiam,JeliLiam
416220,The Light Empire,Jemy,Jemy
391960,Super Mega Bob,Jenito,Jenito
479040,Metamorphic,Jeremy Slavitz,Jeremy Slavitz
460250, Circles,Jeroen Wimmers,Jeroen Wimmers
448480,Caravanserail,Jerome Bodin,Jerome Bodin
493770,Awakened,Jesper Michael Petersen,Jesper Michael Petersen
437520,ZeGame,"Jesper The End, Selle Sellink, New Hansen",Jesper The End
452490,The Cubicle.,"Roel van Beek, Jurgen Hoogeboom, Joppe de Graaf, Jesper van den Ende",Jespertheend
321870,Silence of the Sleep,Jesse Makkonen,Jesse Makkonen
395170,DISTRAINT,Jesse Makkonen,Jesse Makkonen
209850,Highborn,Jet Set Games,Jet Set Games
326180,Sinister City,Jetdogs Studios,Jetdogs Studios
326190,Alchemy Mysteries: Prague Legends,Jetdogs Studios,Jetdogs Studios
342580,12 Labours of Hercules,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
347430,Frankenstein: Master of Death,"Jetdogs Studios, Fineway Studios",Jetdogs Studios
360640,12 Labours of Hercules II: The Cretan Bull,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
360650,12 Labours of Hercules III: Girl Power,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
396790,Dracula's Legacy,"Jetdogs Studios, IndeePop",Jetdogs Studios
396800,12 Labours of Hercules IV: Mother Nature (Platinum Edition),"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
409380,Among the Heavens,"Jetdogs Studios, CorePunch Gamestudio",Jetdogs Studios
411120,Galaxy Admirals,Jetdogs Studios,Jetdogs Studios
431260,Cursed,Jetdogs Studios,Jetdogs Studios
450190,MAZE LORD,Jetdogs Studios,Jetdogs Studios
491330,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
497400,1 Moment Of Time: Silentville,2 Monkeys,Jetdogs Studios
509600,BattleTime,Foggybus,Jetdogs Studios
545820,Wanderland,Artogon,Jetdogs Studios
567800,12 Labours of Hercules VI: Race for Olympus,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
274900,Murder Miners,JForce Games,JForce Games
476460,Picross Touch,Jon Gallant,jgallant
375620,CortexGear:AngryDroids,JH12world,JH12world
364850,StartBolita,JhonGames,JhonGames
252210,Dungeon Dashers,Jigxor,Jigxor
429490,Resilience: Wave Survival,Jimbob Games,Jimbob Games
335220,But to Paint a Universe,MÃ¥rten Jonsson,JMJ Interactive
443460,Star Sky 2 -  2,"MÃ¥rten Jonsson, JMJ Interactive",JMJ Interactive
565660,Akihabara - Feel the Rhythm,JMJ Interactive,JMJ Interactive
207530,Noitu Love 2: Devolution,Joakim Sandberg,Joakim Sandberg
318860,Malebolgia,Jochen Mistiaen,Jochen Mistiaen
490170,Mind OVR Matter,Joe Chatfield,Joe Chatfield
435840,The Preposterous Awesomeness of Everything,Joe Richardson,Joe Richardson
503400,Four Last Things,Joe Richardson,Joe Richardson
393410,World of Soccer online,Johannes Eski,Johannes Eski
587580,Nature Treks VR,John Carline,John Carline
370150,LOOP: A Tranquil Puzzle Game,John Cullen,John Cullen
337280,Planetship,John Lawrence,John Lawrence
379290,Sumo Revise,"John Szymanski, Evan Szymanski, David Szymanski",John Szymanski
416550,Rubber Ducky and the Rainbow Gun,John Szymanski,John Szymanski
509160,Gebub's Adventure,John Wallie,John Wallie
364270,Lilly and Sasha: Curse of the Immortals,John Wizard,John Wizard
370040,Lilly and Sasha: Nexus of Souls,John Wizard,John Wizard
383520,Lilly and Sasha: Guardian Angels,John Wizard,John Wizard
423770,Our Love Will Grow,John Wizard,John Wizard
459020,Melting Hearts: Our Love Will Grow 2,John Wizard,John Wizard
501030,Extravaganza Rising,John Wizard,John Wizard
520820,Dawn's Light,John Wizard,John Wizard
532090,Dawn's Light 2,John Wizard,John Wizard
550420,Stargazer Christmas,John Wizard,John Wizard
640210,Just One Line,JOL Studios,JOL Studios
455990,Smash Pixel Racing,Jollyfish Games,Jollyfish Games
367350,Demon Hearts,Jon Harwood Creations LLC,Jon Harwood Creations LLC
472060,Ortus Regni,Jon Sudbury Games,Jon Sudbury Games
337720,The Sea Will Claim Everything,Jonas Kyratzes,Jonas Kyratzes
582050,HVRGUN,"Jonathan Bartram, Thomas Bartram","Jonathan Bartram, Thomas Bartram"
444720,Inexistence,Jonathan BRASSAUD,Jonathan BRASSAUD
461030,A Long Way Home,Jonathan Mulcahy,Jonathan Mulcahy
467820,Zero G Arena,Jonathan Wood,Jonathan Wood
575880,1979 Invasion Earth,Jonni Hirst,Jonni Hirst
517680,A dead world's dream,JoqLePecheur,JoqLePecheur
364130,Ride the Bullet,Jordan Sendar,Jordan Sendar
663920,Died Of Fear,Jorge Aires,Jorge Aires
530290,The Planet of the Vicious Creatures,Jorge Giner Cordero,Jorge Giner Cordero
572040,Felis,Jose Pedro DÃ­az,Jose Pedro DÃ­az
451000,Ember Kaboom,Josh Koenig (Slashandz),Josh Koenig (Slashandz)
530920,Archimedes,Joshua Hughes,Joshua Hughes
382380,The Amber Throne,Joshua Missile,Joshua Missile
514810,Eldritch Hunter,Joshua Missile,Joshua Missile
552880,STARDROP,Joure Visser,Joure Visser
348360,Doodle God,JoyBits Ltd.,JoyBits Ltd.
431640,Doodle Kingdom,JoyBits Ltd.,JoyBits Ltd.
538060,Doodle God: 8-bit Mania,JoyBits Ltd.,JoyBits Ltd.
598940,Doodle Mafia,JoyBits Ltd.,JoyBits Ltd.
608760,Doodle Devil,JoyBits Ltd.,JoyBits Ltd.
339610,Freestyle2: Street Basketball,Joycity,Joycity
568810,FreeStyleFootball,Joycity,Joycity
513420,VR Escape the space station,Joygo.Studio,Joygo.Studio
517400,VR Amazing Files: Horror Hospital,Joygo.Studio,Joygo.Studio
252010,Oniken: Unstoppable Edition,JoyMasher,JoyMasher
319480,Odallus: The Dark Call,JoyMasher,JoyMasher
307050,Shan Gui (),Magenta Factory,Ju Cai
661520,Archangel,Frogames,"Juan Gabriel Gomila, Benjamin MirÃ³"
438660,Jerry Rice & Nitus' Dog Football,JUDOBABY INC.,JUDOBABY INC.
455000,The Lost,Duang,juezhu
318970,StarCrawlers,Juggernaut Games,Juggernaut Games
562510,JugiPaint,Jugilus,Jugilus
342920,Toto Temple Deluxe,Juicy Beast,Juicy Beast
298400,Knightmare Tower,Juicy Beast Studio,Juicy Beast Studio
298340,FLASHOUT 2,Jujubee S.A.,Jujubee S.A.
315680,Spellcrafter,Jujubee S.A.,Jujubee S.A.
408750,Starsphere,Julia Games,Julia Games
509570,In Celebration of Violence,Julian Edison,Julian Edison
670850,Sokoban Land DX,Juliano Ferreira de Lima,Juliano Ferreira de Lima
291370,Undead Overlord,JumpCore Productions,JumpCore Productions
332070,School of Dragons,"JumpStart Games, Inc.","JumpStart Games, Inc."
343090,SimpleRockets,"Jundroo, LLC","Jundroo, LLC"
397340,SimplePlanes,"Jundroo, LLC","Jundroo, LLC"
575580,Queen of Seas,Uruca Game Studio,Jungle Coworking
596810,Save Their Souls,BIOSZARD Dev,Jungle Coworking
324360,TOTM,Juniper Games,Juniper GmbH
375930,Trap Them,Juri Schupilo,Juri Schupilo
407150,Trap Them - Sniper Edition,Juri Schupilo,Juri Schupilo
207730,Arena Wars 2,ExDream GmbH,Just a Game
516950,Stars Simulation,Just Amusing Myself Studios,Just Amusing Myself Studios
422250,ShipLord,Just1337 Studio,Just1337 Publisher
444220,Asteroid Bounty Hunter,Just1337 Studio,Just1337 Publisher
467950,Survive in Space,Just1337 Studio,Just1337 Publisher
468490,Neon Space,Just1337 Studio,Just1337 Publisher
505210,Neon Space 2,Just1337 Studio,Just1337 Publisher
508180,Fly and Destroy,Just1337 Studio,Just1337 Publisher
528660,Spin Rush,Crohack,Just1337 Publisher
556280,Neon Prism,Just1337 Studio,Just1337 Publisher
556870,Charlie's Adventure,Just1337 Studio,Just1337 Publisher
567280,Cube Runner,Just1337 Studio,Just1337 Publisher
567290,Slash It,"Just1337 Studio, Crohack",Just1337 Publisher
567580,Duke of Alpha Centauri,Just1337 Studio,Just1337 Publisher
583760,Slash It 2,Just1337 Studio,Just1337 Publisher
586960,Upside Down,Just1337 Studio,Just1337 Publisher
586970,Hungry Flame,Just1337 Studio,Just1337 Publisher
656600,Slash It Ultimate,Just1337 Studio,Just1337 Publisher
650580,Be Quiet!,Justin Back,Justin Back
377980,Mortos,Cargiolli Luciano,JustPlayNow
500710,Wild Terra Online,Juvty Worlds Ltd.,Juvty Worlds Ltd.
368590,Albert and Otto,K Bros Games,K Bros Games
449540,There's Poop In My Soup,K Bros Games,K Bros Games
485870,Super Duper Party Pooper,K Bros Games,K Bros Games
521630,Toadled,Giant Fox Studios,K Bros Games
545860,Luke Sidewalker,Giant Fox,K Bros Games
588240,Frisky Business,K Bros Games,K Bros Games
595460,Flix and Chill,Jason Lovett,K Bros Games
603720,There's Poop In My Soup - Pooping with Friends,K Bros Games,K Bros Games
619890,Evil Glitch,Agar3s,K Bros Games
634200,Tanks vs Aliens,VR Features,K Bros Games
657120,Flix and Chill 2: Millennials,Jason Lovett,K Bros Games
657440,Burn It Down,"Tapinator, Max Ignatyev",K Bros Games
382090,Dungeon Nightmares II : The Memory,K Monkey,K Monkey
575090,Flame of Memory,Kacper StasieÅ‚uk,Kacper StasieÅ‚uk
543240,Letter - Root Letter -,"KADOKAWA GAMES, LTD","KADOKAWA GAMES, LTD"
493180,Dynasty Feud,Kaia Studios,Kaia Studios
471270,Leave The Nest,Kaio Interactive,Kaio Interactive
396010,The Rise of Chubtan,RadarJam,Kajak Games
582660,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.
357890,Vortex Attack: ,KaleidoGames,KaleidoGames
